id,carat,cut,color,clarity,depth,table,x,y,z,price
360,0.33,Very Good,D,SI1,61.8,61.0,4.41,4.38,2.72,681
361,0.42,Ideal,G,VVS2,61.6,56.0,4.84,4.79,2.97,1187
362,,Ideal,,VS2,61.9,55.0,5.69,5.74,3.54,3195
363,0.41,Ideal,,VVS2,61.8,56.0,4.78,4.81,2.96,1263
364,1.51,Ideal,F,SI2,61.9,57.0,7.37,7.4,4.57,9316
365,0.81,Ideal,D,SI1,60.9,57.0,5.99,6.03,3.66,3516
366,0.3,Ideal,F,VVS1,61.9,56.0,4.28,4.3,2.66,814
367,1.0,Very Good,J,SI1,63.3,54.0,6.34,6.37,4.02,4092
368,2.02,Premium,J,VS1,61.9,58.0,8.14,8.09,5.02,17111
369,0.92,Very Good,,SI1,62.5,56.0,6.26,6.21,3.9,3681
370,,Ideal,F,VS2,60.5,57.0,5.78,5.75,3.48,2860
371,0.31,Ideal,E,IF,61.2,56.0,4.37,4.39,2.68,1060
372,1.02,Premium,E,VVS2,60.8,58.0,6.45,6.49,3.94,8451
373,2.02,Fair,,SI2,56.5,61.0,8.33,8.37,4.72,13784
374,0.42,Ideal,E,VVS1,61.4,56.0,4.82,4.85,2.97,1400
375,,Good,I,SI2,64.3,62.0,8.93,8.86,5.64,18242
376,0.95,Good,I,VVS2,63.3,55.0,6.2,6.28,3.95,4065
377,0.53,Ideal,,SI2,60.3,57.0,5.23,5.27,3.17,1425
378,,Ideal,G,SI1,62.8,57.0,5.15,5.12,3.23,1345
379,1.03,Ideal,E,SI2,62.7,58.0,6.42,6.44,4.03,5004
380,0.32,Ideal,,VS2,61.9,57.0,4.39,4.41,2.72,561
381,0.71,Premium,E,SI2,61.9,56.0,5.77,5.73,3.55,1994
382,0.41,Premium,D,SI1,61.1,58.0,4.76,4.8,2.92,874
383,0.3,Ideal,,VVS2,61.3,59.0,4.3,4.32,2.64,814
384,,Ideal,G,VVS2,61.7,55.0,4.16,4.13,2.56,593
385,,Premium,G,SI2,62.3,58.0,6.97,6.94,4.34,5031
386,0.88,Very Good,G,VS1,61.0,56.0,6.12,6.09,3.73,3883
387,0.4,Premium,D,VS2,61.3,55.0,4.78,4.74,2.92,1125
388,0.56,Ideal,E,SI1,61.3,55.0,5.35,5.31,3.27,1585
389,,Very Good,,VS2,62.4,60.0,7.2,7.29,4.52,11713
390,1.0,Ideal,,SI2,61.9,58.0,6.37,6.43,3.96,4661
391,1.0,Premium,,SI2,60.0,62.0,6.51,6.46,3.89,4395
392,1.2,Ideal,E,VVS2,61.2,56.0,6.83,6.86,4.19,17604
393,0.41,Ideal,D,VVS2,61.5,57.0,4.72,4.77,2.92,1099
394,0.9,Very Good,F,SI2,60.8,60.0,6.23,6.28,3.79,3858
395,0.71,Very Good,F,SI1,62.8,59.0,5.65,5.69,3.56,2380
396,1.61,Premium,I,SI2,62.4,57.0,7.48,7.45,4.66,7026
397,0.55,Ideal,,VS1,62.5,55.0,5.2,5.25,3.28,1689
398,,Premium,F,VVS1,61.4,59.0,4.81,4.82,2.96,1323
399,0.7,Fair,G,SI2,66.0,59.0,5.54,5.5,3.64,1995
400,1.24,Premium,G,VS2,60.2,58.0,6.95,7.04,4.22,8213
401,0.56,Very Good,,VS2,60.0,57.0,5.35,5.4,3.23,1599
402,0.52,Ideal,,SI1,61.8,56.0,5.17,5.2,3.21,1454
403,,Ideal,G,VS1,61.4,57.0,4.32,4.35,2.66,605
404,0.4,Premium,,VS2,61.3,58.0,4.74,4.72,2.91,891
405,0.23,Ideal,H,SI2,62.1,54.0,3.96,3.99,2.46,345
406,0.33,Premium,F,VS2,62.0,59.0,4.46,4.43,2.76,577
407,0.31,Good,,SI2,63.1,55.0,4.34,4.31,2.73,593
408,0.31,Ideal,,VS2,61.1,56.0,4.39,4.37,2.68,577
409,0.74,Premium,H,SI1,62.7,57.0,5.7,5.76,3.59,2370
410,1.0,Very Good,E,VS2,61.8,58.0,6.36,6.34,3.92,6272
411,,Very Good,,SI1,62.3,59.0,4.04,4.13,2.54,465
412,,Ideal,E,VS2,61.5,57.0,5.2,5.24,3.21,1812
413,1.0,Good,G,VS2,63.7,58.0,6.32,6.27,4.01,5132
414,0.43,Fair,H,VS2,67.9,57.0,4.84,4.65,3.24,716
415,0.48,Very Good,G,SI1,58.6,59.4,5.05,5.09,2.99,1026
416,0.7,Premium,G,VS2,62.0,62.0,5.67,5.7,3.53,2327
417,0.73,Ideal,,VS2,61.6,57.0,5.79,5.81,3.57,3457
418,1.55,Premium,G,VS1,59.2,58.0,7.56,7.61,4.48,13379
419,0.4,Very Good,F,VS1,60.4,58.0,4.73,4.77,2.87,868
420,,Good,,VS2,62.3,64.0,5.65,5.6,3.5,2312
421,0.35,Ideal,,VS1,61.4,55.0,4.53,4.56,2.78,863
422,1.5,Premium,I,SI1,62.2,59.0,7.33,7.2,4.52,8654
423,0.73,Ideal,I,VS1,61.6,55.0,5.78,5.83,3.57,2384
424,0.91,Very Good,,VS2,61.4,59.0,6.18,6.25,3.82,4247
425,,Ideal,F,VS2,61.5,56.0,4.77,4.79,2.94,968
426,0.93,Premium,E,VS1,59.1,59.0,6.33,6.27,3.73,5250
427,1.12,Very Good,,SI1,60.0,59.0,6.77,6.82,4.08,4708
428,0.9,Good,I,VS2,63.7,57.0,6.05,6.09,3.86,3229
429,0.57,Ideal,F,VVS2,62.6,56.0,5.29,5.32,3.31,1902
430,0.54,Very Good,E,SI1,61.6,57.0,5.24,5.27,3.23,1438
431,1.03,Ideal,H,SI2,61.6,57.0,6.47,6.52,3.99,4312
432,,Ideal,G,VVS2,61.2,57.0,5.36,5.39,3.29,1875
433,,Premium,H,VS2,62.5,58.0,4.77,4.79,2.98,876
434,1.52,Premium,D,SI1,61.9,59.0,7.38,7.34,4.55,11726
435,0.31,Very Good,H,VVS1,62.2,56.0,4.36,4.36,2.71,633
436,0.3,Ideal,G,VS2,61.6,57.0,4.29,4.32,2.65,675
437,0.72,Ideal,I,VS2,60.9,56.0,5.74,5.8,3.51,2313
438,0.54,Ideal,D,SI1,62.6,56.0,5.17,5.2,3.24,1600
439,1.5,Good,,SI1,61.7,61.0,7.3,7.32,4.51,10706
440,,Ideal,G,SI1,62.2,55.0,4.41,4.44,2.76,573
441,0.4,Premium,,VVS2,60.9,58.0,4.75,4.74,2.89,1048
442,0.43,Ideal,G,VVS2,61.6,56.0,4.83,4.87,2.99,1103
443,,Very Good,F,VS2,62.2,60.0,6.34,6.4,3.96,6449
444,0.9,Fair,D,SI2,65.4,56.0,6.12,6.01,3.97,2682
445,0.31,Ideal,G,VS2,61.7,57.0,4.36,4.39,2.7,544
446,0.7,Ideal,H,SI1,62.2,55.0,5.66,5.73,3.54,2298
447,2.01,Very Good,H,SI2,59.6,62.0,8.04,8.09,4.85,11925
448,0.32,Premium,H,VS2,61.4,60.0,4.36,4.41,2.69,505
449,0.5,Premium,F,SI1,61.9,58.0,5.08,5.04,3.13,1415
450,,Ideal,D,VS2,62.3,55.0,4.46,4.43,2.77,1002
451,0.71,Ideal,F,SI1,62.7,57.0,5.7,5.72,3.57,2346
452,1.0,Ideal,G,VS1,60.0,55.0,6.53,6.44,3.89,7469
453,0.9,Very Good,D,SI2,63.9,59.0,6.12,6.16,3.93,3288
454,,Ideal,H,SI1,61.5,57.0,4.36,4.39,2.69,504
455,,Ideal,,SI1,61.6,55.0,6.5,6.46,3.99,5546
456,0.42,Ideal,G,VS1,62.4,55.0,4.79,4.82,3.0,930
457,,Ideal,F,VS2,60.5,57.0,4.71,4.75,2.86,906
458,,Ideal,H,VS1,59.3,57.0,6.94,6.93,4.09,8057
459,0.32,Ideal,D,SI1,62.1,57.0,4.38,4.34,2.71,589
460,1.5,Good,G,SI2,63.7,61.0,7.0,7.02,4.53,6006
461,1.02,Premium,H,VS2,62.4,58.0,6.45,6.41,4.01,4821
462,1.0,Premium,,SI1,61.3,58.0,6.47,6.4,3.94,5975
463,0.6,Ideal,F,SI1,62.3,54.0,5.41,5.38,3.36,1616
464,0.53,Ideal,D,VS2,60.9,55.0,5.26,5.21,3.19,1819
465,0.3,Premium,G,VS1,62.7,58.0,4.24,4.27,2.67,605
466,0.54,Premium,E,VS2,60.7,57.0,5.29,5.24,3.2,1754
467,1.01,Ideal,D,SI1,61.8,56.0,6.44,6.4,3.97,5485
468,0.3,Ideal,G,VVS2,61.1,56.0,4.31,4.33,2.64,878
469,0.3,Premium,H,VS2,61.0,56.0,4.36,4.33,2.65,630
470,0.9,Premium,I,VS2,62.1,61.0,6.16,6.12,3.81,3656
471,,Good,D,SI2,63.9,53.0,5.69,5.58,3.61,2475
472,0.53,Premium,E,VS2,61.6,58.0,5.21,5.23,3.22,1712
473,0.72,Premium,,I1,60.1,60.0,5.85,5.8,3.48,1340
474,0.34,Very Good,I,IF,60.8,58.0,4.47,4.49,2.72,745
475,0.32,Ideal,,SI2,60.9,57.0,4.46,4.42,2.7,540
476,0.32,Ideal,H,VS1,62.1,55.0,4.38,4.4,2.73,527
477,,Very Good,,SI2,62.0,58.0,7.35,7.4,4.56,5370
478,0.31,Premium,G,VVS1,60.3,58.0,4.43,4.45,2.68,1046
479,0.52,Ideal,E,SI1,62.1,56.0,5.15,5.18,3.2,1582
480,0.83,Very Good,G,SI2,60.9,57.0,6.09,6.06,3.7,2706
481,0.23,Very Good,,VVS2,61.2,58.0,3.93,3.95,2.41,367
482,,Ideal,F,SI1,61.4,55.0,5.74,5.77,3.54,2049
483,1.09,Ideal,,SI2,62.0,57.0,6.65,6.59,4.1,3725
484,1.82,Ideal,I,VS2,61.5,57.0,7.84,7.81,4.82,13427
485,,Premium,G,VVS1,61.4,59.0,4.42,4.39,2.71,1080
486,,Fair,E,SI1,66.9,57.0,4.86,4.79,3.23,1110
487,0.9,Premium,H,VS2,60.9,60.0,6.26,6.19,3.79,3524
488,1.51,Ideal,H,SI1,63.2,56.0,7.31,7.28,4.61,9160
489,,Premium,E,VS2,61.0,58.0,4.47,4.52,2.74,812
490,0.72,Premium,G,SI2,61.7,59.0,5.73,5.68,3.52,1929
491,1.51,Premium,G,SI1,62.5,59.0,7.33,7.29,4.56,12392
492,0.91,Ideal,H,VS2,61.9,57.0,6.15,6.2,3.82,4239
493,1.12,Premium,D,SI1,60.2,58.0,6.78,6.71,4.09,6533
494,0.36,Very Good,H,VS2,61.7,57.0,4.54,4.58,2.81,568
495,0.54,Ideal,G,VS1,61.4,56.0,5.22,5.26,3.22,1758
496,0.69,Fair,F,VS2,65.2,55.0,5.59,5.56,3.66,2394
497,1.21,Premium,H,SI1,62.8,60.0,6.74,6.69,4.22,6098
498,1.01,Very Good,,SI2,63.3,57.0,6.34,6.28,3.99,4427
499,2.21,Premium,I,SI1,62.2,59.0,8.29,8.33,5.16,17784
500,0.25,Ideal,H,VVS1,62.0,54.0,4.09,4.11,2.54,525
501,1.61,Ideal,,VS1,61.7,56.0,7.55,7.51,4.65,13063
502,0.31,Ideal,G,IF,61.9,55.0,4.38,4.41,2.72,901
503,1.26,Ideal,G,VS1,61.4,56.0,6.99,7.04,4.31,8742
504,0.57,Ideal,E,VS2,62.1,56.0,5.34,5.32,3.31,1801
505,2.0,Good,,SI1,58.3,60.0,8.21,8.27,4.82,15959
506,,Very Good,,VVS2,62.4,56.0,4.27,4.29,2.67,694
507,,Ideal,,IF,62.6,55.0,4.3,4.32,2.7,1094
508,,Ideal,H,SI2,62.2,55.0,4.43,4.46,2.77,408
509,,Ideal,D,VS1,62.0,57.0,6.55,6.61,4.09,8999
510,0.32,Ideal,H,VS1,61.5,56.0,4.4,4.43,2.72,565
511,,Premium,I,SI2,61.1,60.0,7.46,7.38,4.52,5756
512,0.43,Premium,F,SI1,61.2,58.0,4.85,4.8,2.96,1017
513,,Good,J,SI1,63.9,58.0,6.81,6.77,4.32,5197
514,0.52,Premium,,SI1,59.6,59.0,5.36,5.32,3.17,1406
515,0.31,Ideal,,SI1,61.9,55.0,4.34,4.37,2.7,571
516,,Premium,,SI1,63.0,57.0,6.65,6.62,4.19,5353
517,1.01,Premium,E,SI1,58.6,56.0,6.62,6.66,3.89,5174
518,,Premium,E,VVS2,60.1,59.0,4.78,4.82,2.89,987
519,,Ideal,E,VS1,61.5,56.0,4.79,4.77,2.94,1008
520,,Very Good,,SI1,61.6,56.4,7.39,7.36,4.54,11605
521,0.54,Ideal,G,VS1,61.7,55.3,5.21,5.27,3.23,1804
522,0.31,Good,,SI2,63.6,56.0,4.29,4.26,2.71,593
523,0.55,Ideal,F,VS2,61.7,56.0,5.28,5.3,3.25,1666
524,0.54,Ideal,E,VS2,61.5,57.0,5.25,5.24,3.23,1745
525,,Very Good,G,VS2,63.0,56.0,6.39,6.41,4.03,6418
526,0.4,Ideal,E,VVS2,62.7,56.0,4.67,4.7,2.94,1034
527,1.55,Ideal,F,VS2,62.0,55.0,7.39,7.44,4.59,16669
528,1.0,Very Good,G,VS1,59.5,62.0,6.54,6.48,3.88,6324
529,1.21,Ideal,,VS2,62.7,55.0,6.84,6.8,4.26,7235
530,0.3,Ideal,F,VVS1,61.4,55.0,4.31,4.36,2.66,1040
531,0.32,Very Good,I,SI1,63.1,58.0,4.34,4.31,2.73,540
532,0.3,Ideal,H,VS1,61.9,55.0,4.33,4.36,2.69,675
533,0.5,Very Good,F,VS1,63.4,56.0,5.1,5.07,3.22,1786
534,1.11,Premium,,SI2,61.9,59.0,6.62,6.59,4.09,3765
535,1.59,Ideal,,SI1,61.5,57.0,7.54,7.49,4.61,12798
536,0.9,Premium,E,SI1,60.7,61.0,6.24,6.29,3.79,3911
537,0.71,Very Good,H,SI1,63.3,56.0,5.68,5.65,3.59,2240
538,0.41,Ideal,,VVS2,62.1,56.0,4.76,4.74,2.95,1129
539,0.3,Ideal,I,IF,61.6,55.0,4.34,4.37,2.68,684
540,0.41,Premium,G,VS2,61.9,60.0,4.74,4.76,2.94,1061
541,1.56,Ideal,I,VS1,61.1,56.0,7.51,7.48,4.57,10763
542,1.5,Ideal,,SI1,62.4,56.0,7.27,7.22,4.52,9069
543,0.32,Premium,G,VS2,61.8,59.0,4.41,4.44,2.73,561
544,1.51,Premium,F,VS2,62.4,59.0,7.37,7.41,4.61,14348
545,0.72,Very Good,G,SI2,62.6,59.0,5.67,5.71,3.56,2041
546,0.32,Ideal,,VS2,62.6,56.0,4.45,4.4,2.77,648
547,,Ideal,D,SI1,61.8,55.0,5.77,5.8,3.58,3216
548,0.82,Very Good,E,SI1,62.4,59.0,5.97,5.95,3.72,3298
549,1.08,Premium,J,SI1,62.3,55.0,6.52,6.57,4.08,4486
550,1.01,Premium,G,VS1,61.1,57.0,6.46,6.43,3.95,6256
551,,Ideal,G,SI2,61.5,54.0,6.52,6.54,4.01,4260
552,2.02,Very Good,I,SI2,63.3,57.0,7.94,7.89,5.02,10682
553,,Good,G,SI1,63.9,56.0,6.62,6.69,4.26,6909
554,0.91,Good,G,SI2,57.6,59.0,6.49,6.46,3.72,3328
555,0.5,Ideal,,VS2,62.5,54.0,5.07,5.06,3.17,1815
556,,Ideal,E,SI1,62.0,57.0,6.43,6.41,3.98,5466
557,0.42,Ideal,,VS1,61.7,57.0,4.8,4.77,2.95,1103
558,0.82,Very Good,E,VVS2,63.2,56.0,5.92,5.98,3.76,4054
559,0.8,Ideal,,VS2,61.0,56.0,6.04,6.02,3.67,3266
560,,Ideal,G,IF,61.4,55.0,4.46,4.49,2.75,988
561,,Ideal,F,VVS1,62.2,55.0,4.79,4.77,2.97,1369
562,0.52,Ideal,D,VS2,61.8,57.0,5.16,5.19,3.2,1826
563,1.0,Premium,G,SI1,59.3,58.0,6.53,6.49,3.88,4604
564,0.4,Ideal,,VVS1,61.7,57.0,4.76,4.73,2.93,945
565,2.07,Premium,,SI2,61.2,59.0,8.2,8.23,5.03,13720
566,0.7,Premium,,VS1,61.0,59.0,5.68,5.74,3.49,2380
567,1.07,Ideal,G,SI1,61.9,57.0,6.53,6.55,4.06,5546
568,,Ideal,F,SI2,61.7,55.0,7.36,7.32,4.53,8213
569,,Ideal,J,SI2,62.4,56.0,6.4,6.44,4.01,3880
570,0.33,Very Good,G,VS1,61.2,57.0,4.45,4.48,2.73,652
571,2.03,Premium,,SI2,62.7,58.0,8.11,8.07,5.05,15751
572,2.0,Premium,G,SI1,60.6,61.0,8.12,8.08,4.91,18485
573,1.09,Ideal,E,IF,61.2,55.0,6.66,6.61,4.06,10115
574,0.33,Premium,F,VVS1,59.6,60.0,4.52,4.49,2.68,994
575,,Very Good,,VS1,62.9,56.0,5.84,5.88,3.68,3685
576,0.53,Ideal,F,VS2,60.9,55.0,5.26,5.29,3.2,1728
577,0.33,Very Good,E,SI1,61.7,61.0,4.31,4.34,2.67,579
578,0.24,Good,,VS1,60.6,63.0,4.0,4.06,2.45,373
579,0.23,Ideal,,VS2,62.0,55.0,3.92,3.94,2.44,396
580,0.54,Ideal,D,VS2,60.9,57.0,5.26,5.25,3.2,1787
581,0.31,Ideal,H,SI1,62.7,57.0,4.3,4.32,2.7,446
582,0.54,Ideal,,VS2,61.2,55.0,5.28,5.34,3.23,1720
583,0.3,Ideal,J,VS1,61.9,56.0,4.36,4.33,2.69,506
584,0.34,Premium,,VS2,61.0,58.0,4.49,4.46,2.73,1033
585,0.53,Ideal,G,SI2,61.9,56.0,5.21,5.18,3.21,1090
586,0.33,Ideal,F,VVS1,60.5,54.0,4.47,4.47,2.7,880
587,0.5,Premium,,SI2,62.6,60.0,5.08,5.05,3.17,1177
588,0.41,Ideal,G,VS2,61.4,56.0,4.85,4.8,2.96,827
589,0.9,Very Good,F,SI1,62.3,58.0,6.07,6.15,3.81,3945
590,1.05,Very Good,H,SI1,63.4,55.0,6.52,6.48,4.11,4899
591,1.25,Ideal,H,SI1,61.0,56.0,6.95,6.9,4.22,7056
592,1.22,Premium,H,SI2,62.7,59.0,6.84,6.78,4.27,4841
593,0.93,Premium,D,SI2,61.6,58.0,6.29,6.27,3.86,4355
594,0.31,Premium,F,VS1,62.2,58.0,4.38,4.3,2.7,761
595,,Ideal,E,VVS2,61.7,55.0,4.4,4.42,2.72,814
596,0.51,Ideal,H,VS2,62.9,57.0,5.06,5.1,3.2,1257
597,1.5,Good,E,SI2,58.4,61.0,7.49,7.54,4.38,8850
598,0.76,Premium,G,VS2,60.0,59.0,5.97,5.93,3.55,2826
599,1.0,Very Good,G,VS2,63.0,58.0,6.37,6.34,4.0,5148
600,1.03,Very Good,H,VVS1,60.8,56.0,6.54,6.56,3.98,6733
601,,Premium,E,VS2,62.0,59.0,5.2,5.18,3.22,1699
602,0.23,Very Good,E,VVS1,62.8,57.0,3.86,3.89,2.44,530
603,1.01,Very Good,G,VS2,62.7,58.0,6.23,6.34,3.94,4650
604,,Premium,F,VS2,62.8,58.0,4.31,4.28,2.69,828
605,0.7,Premium,D,VS2,61.4,60.0,5.75,5.71,3.52,3360
606,0.71,Ideal,F,VVS1,61.1,56.0,5.74,5.77,3.52,4270
607,0.51,Very Good,E,SI1,63.8,55.0,5.05,5.08,3.23,1624
608,0.3,Ideal,G,SI1,62.2,55.0,4.32,4.34,2.69,499
609,0.6,Premium,,SI1,61.3,58.0,5.53,5.44,3.35,1915
610,,Ideal,G,VS2,61.5,56.0,6.51,6.47,3.99,6108
611,0.4,Very Good,G,SI1,61.9,59.0,4.73,4.7,2.92,702
612,0.32,Ideal,D,VS2,61.9,56.0,4.4,4.43,2.73,670
613,0.73,Ideal,,VS1,61.5,54.0,5.89,5.82,3.6,3229
614,0.7,Ideal,H,SI1,62.0,56.0,5.64,5.66,3.5,1901
615,2.0,Very Good,,SI2,58.7,61.0,8.12,8.17,4.83,18557
616,,Premium,E,VS2,59.3,61.0,6.07,6.05,3.62,3867
617,1.62,Premium,,SI1,61.7,59.0,7.57,7.59,4.68,13873
618,0.39,Ideal,G,VS2,61.8,57.0,4.67,4.72,2.91,847
619,0.36,Ideal,D,VS1,61.8,56.0,4.54,4.56,2.81,1066
620,1.0,Premium,F,SI1,61.8,59.0,6.37,6.32,3.92,5292
621,0.4,Ideal,E,SI2,62.5,56.0,4.76,4.73,2.97,550
622,1.0,Very Good,F,SI2,60.5,62.0,6.4,6.43,3.87,4077
623,1.51,Premium,F,SI1,61.7,58.0,7.35,7.29,4.51,12500
624,1.08,Ideal,G,VS1,61.4,57.0,6.61,6.56,4.05,6741
625,0.7,Premium,E,VS2,63.0,59.0,5.65,5.61,3.54,2342
626,0.33,Ideal,G,VVS1,61.7,54.0,4.45,4.48,2.76,1114
627,0.52,Ideal,F,VVS2,61.3,56.0,5.22,5.25,3.2,2064
628,1.0,Premium,E,VS2,60.5,60.0,6.53,6.43,3.93,6600
629,0.3,Premium,F,VS1,62.7,58.0,4.33,4.26,2.69,779
630,1.24,Premium,D,SI2,61.0,60.0,6.95,6.88,4.22,5670
631,1.2,Ideal,,VS1,61.8,54.0,6.84,6.89,4.24,8985
632,,Premium,F,VS2,60.3,58.0,6.53,6.5,3.94,7040
633,,Premium,E,SI2,62.0,58.0,6.2,6.15,3.83,3230
634,,Ideal,D,VS2,61.3,56.0,5.77,5.82,3.55,3307
635,,Ideal,H,VS1,61.4,56.0,6.95,6.98,4.27,8736
636,,Very Good,F,SI1,60.9,60.0,5.18,5.22,3.16,1232
637,,Ideal,E,SI2,62.4,57.0,7.47,7.5,4.67,10680
638,0.92,Ideal,,SI2,62.7,54.0,6.2,6.22,3.89,3655
639,0.55,Ideal,D,SI1,61.0,56.0,5.25,5.29,3.22,1830
640,,Ideal,H,VVS1,61.4,56.0,4.37,4.34,2.68,683
641,0.73,Ideal,J,SI1,60.3,59.0,5.81,5.83,3.51,2083
642,0.32,Ideal,E,VS2,62.0,55.0,4.41,4.37,2.72,900
643,1.02,Ideal,G,VVS2,62.2,57.0,6.46,6.43,4.01,8532
644,,Ideal,E,VVS2,61.7,56.0,5.28,5.3,3.26,2460
645,2.0,Premium,H,SI2,61.7,59.0,8.13,8.07,5.01,15785
646,0.37,Premium,D,VS2,60.9,58.0,4.68,4.63,2.84,871
647,1.13,Ideal,F,VS2,61.6,57.0,6.67,6.7,4.12,7257
648,1.0,Premium,G,SI2,62.7,60.0,6.38,6.35,3.99,4128
649,0.57,Ideal,F,VVS2,61.9,57.0,5.36,5.32,3.3,2310
650,,Premium,E,SI2,62.7,58.0,6.6,6.53,4.11,4620
651,0.27,Very Good,,VS1,61.0,58.0,4.2,4.25,2.58,580
652,0.41,Very Good,F,VVS1,62.9,58.0,4.69,4.72,2.96,1265
653,0.54,Premium,E,VS2,61.0,58.0,5.21,5.26,3.2,1662
654,1.01,Ideal,,VS2,62.3,57.0,6.36,6.39,3.98,6350
655,0.53,Ideal,,VS2,60.7,56.0,5.27,5.27,3.2,1894
656,2.06,Very Good,G,SI1,62.5,59.0,8.09,8.17,5.08,16506
657,,Very Good,D,VS2,62.3,57.0,5.22,5.25,3.26,1960
658,0.27,Very Good,G,VVS1,62.7,55.0,4.16,4.19,2.6,672
659,0.38,Ideal,F,VVS1,61.5,57.0,4.63,4.67,2.86,1096
660,1.26,Premium,H,SI2,62.5,58.0,6.89,6.84,4.29,5100
661,0.36,Ideal,F,VS1,62.3,55.0,4.57,4.54,2.84,754
662,0.41,Ideal,F,VS1,61.1,55.0,4.79,4.82,2.94,1076
663,1.0,Ideal,E,VS2,61.8,56.0,6.42,6.39,3.96,6720
664,,Very Good,F,SI2,62.5,57.0,4.25,4.29,2.67,394
665,1.51,Good,D,SI1,63.5,57.0,7.22,7.26,4.59,12648
666,0.37,Ideal,D,VS2,62.7,56.0,4.55,4.58,2.86,1092
667,0.32,Ideal,D,SI2,61.9,56.0,4.41,4.44,2.74,536
668,1.53,Ideal,,VS2,62.0,57.0,7.36,7.43,4.58,13428
669,,Very Good,G,VS1,61.7,57.0,3.92,3.95,2.43,402
670,1.01,Very Good,H,SI1,62.7,57.0,6.36,6.41,4.01,5051
671,0.7,Ideal,G,SI1,62.3,56.0,5.67,5.75,3.55,2782
672,1.01,Very Good,F,SI1,62.7,59.0,6.39,6.43,4.01,5262
673,0.71,Very Good,,SI1,62.2,59.0,5.65,5.68,3.52,2646
674,0.25,Very Good,F,VVS2,61.0,57.0,4.04,4.07,2.47,548
675,1.01,Premium,F,VS2,59.8,60.0,6.53,6.49,3.89,6416
676,1.52,Very Good,,SI1,63.3,57.0,7.31,7.23,4.61,9038
677,0.51,Ideal,,SI1,62.1,54.0,5.11,5.15,3.19,1408
678,0.31,Premium,G,VVS2,59.9,59.0,4.44,4.41,2.65,907
679,1.53,Very Good,F,SI1,61.6,56.0,7.39,7.45,4.57,12621
680,2.02,Premium,,SI2,61.3,59.0,8.12,8.19,5.0,15802
681,0.71,Ideal,G,SI1,61.6,55.0,5.76,5.73,3.54,2416
682,0.3,Ideal,D,VS2,62.1,56.0,4.31,4.29,2.67,911
683,1.09,Ideal,,VS2,60.6,56.0,6.67,6.6,4.03,6038
684,1.03,Premium,F,SI2,62.0,59.0,6.43,6.47,4.0,4304
685,0.7,Very Good,G,VS1,61.2,57.0,5.71,5.74,3.48,2622
686,,Ideal,G,VS1,61.9,55.0,5.11,5.15,3.19,1740
687,0.3,Ideal,G,VS1,62.8,57.0,4.27,4.3,2.69,586
688,0.42,Very Good,F,VS1,63.1,59.0,4.81,4.78,3.02,1031
689,,Very Good,,SI1,63.4,58.0,6.33,6.37,4.02,4675
690,0.32,Ideal,F,VVS1,61.9,56.0,4.38,4.4,2.72,810
691,0.31,Ideal,E,SI1,62.7,56.0,4.3,4.32,2.71,644
692,0.7,Very Good,F,SI2,62.7,57.0,5.65,5.68,3.55,2058
693,0.3,Ideal,G,VVS1,61.4,57.0,4.3,4.27,2.64,1013
694,1.23,Very Good,I,VS1,61.7,58.0,6.88,6.82,4.23,6360
695,0.7,Very Good,,VS1,61.5,58.0,5.65,5.71,3.49,3254
696,0.71,Ideal,D,VS2,62.3,56.0,5.7,5.73,3.56,3353
697,1.09,Ideal,,VS2,62.4,56.0,6.59,6.62,4.12,5158
698,,Premium,G,SI1,61.4,58.0,6.91,6.84,4.21,6473
699,1.11,Ideal,,SI2,62.0,56.0,6.61,6.66,4.12,4536
700,,Premium,I,SI1,62.6,60.0,6.08,6.03,3.79,3025
701,1.8,Premium,H,SI1,62.2,57.0,7.81,7.74,4.86,14105
702,0.75,Premium,G,VS1,62.7,60.0,5.77,5.71,3.59,2720
703,,Ideal,H,SI1,62.3,54.0,6.52,6.53,4.07,4864
704,1.53,Ideal,G,VS2,62.2,57.0,7.37,7.33,4.57,13873
705,1.0,Ideal,H,SI1,61.1,56.0,6.42,6.43,3.92,4718
706,1.14,Ideal,G,VS2,61.7,55.0,6.78,6.7,4.16,7125
707,,Very Good,G,VVS2,62.8,56.0,4.27,4.25,2.68,552
708,0.34,Ideal,E,VVS1,62.1,56.0,4.47,4.45,2.77,1084
709,0.41,Very Good,E,VVS2,61.1,57.0,4.76,4.81,2.93,1143
710,0.73,Very Good,,SI2,61.9,58.0,5.77,5.79,3.58,2175
711,0.3,Very Good,,SI1,63.4,56.0,4.32,4.29,2.73,819
712,0.3,Ideal,,VS2,61.9,56.0,4.32,4.35,2.68,378
713,0.32,Premium,H,VVS1,62.0,59.0,4.42,4.37,2.72,936
714,0.29,Premium,,VVS2,62.1,59.0,4.2,4.23,2.61,496
715,,Ideal,I,VS2,61.7,56.0,5.27,5.3,3.26,1338
716,0.52,Very Good,E,VS2,62.5,56.0,5.13,5.16,3.21,1699
717,0.3,Very Good,E,SI2,61.5,56.0,4.27,4.3,2.64,475
718,1.05,Ideal,,SI1,61.9,57.0,6.57,6.53,4.06,5627
719,1.2,Premium,G,SI2,62.9,58.0,6.8,6.75,4.26,5546
720,0.74,Premium,H,VS2,60.9,57.0,5.84,5.87,3.57,2594
